Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L,302.2,311.4,2080,19.2,31
H,303.8,313.2,1506,46.9,154
H,297.0,307.7,1834,23.8,195
L,299.1,309.5,1512,39.0,75
M,298.0,307.5,1427,43.6,101
M,296.3,307.4,1958,19.1,67
M,298.3,308.9,1646,25.4,46
L,301.4,310.6,1634,31.1,171
H,297.1,308.4,1654,31.4,171
H,301.7,310.5,1388,50.5,176
L,300.9,310.4,1544,36.0,148
L,297.7,308.9,1575,39.9,12
L,300.7,310.1,1542,35.5,191
L,304.0,312.8,1542,42.7,198
M,297.5,308.3,1521,38.2,74
L,297.5,308.4,1747,31.0,45
H,298.8,309.8,1563,38.8,65
L,298.0,308.3,1662,32.7,0
L,302.9,310.8,1610,32.2,17
L,300.8,312.3,1858,26.3,144
L,297.6,309.5,1617,36.2,42
M,298.5,308.7,1662,28.3,15
L,298.1,308.0,1697,31.0,164
L,296.1,307.2,1615,30.8,18
L,301.9,310.8,1427,47.7,92
L,302.0,310.9,1455,43.2,220
L,302.4,310.3,1923,23.3,172
L,300.5,309.6,1760,30.6,213
L,299.8,309.3,1386,49.4,116
L,297.0,307.8,1683,32.3,197
M,297.5,308.5,1447,41.6,118
M,300.4,311.9,1335,58.3,9
M,303.5,312.3,1593,35.2,29
M,298.7,309.8,1435,48.8,71
L,302.3,311.4,1570,37.2,15
L,303.6,311.8,1567,31.7,97
M,297.6,308.9,1479,38.1,182
L,300.1,311.5,2218,17.0,123
L,302.3,310.2,1548,35.3,170
L,299.1,308.3,1325,46.9,28
L,297.2,308.6,1578,34.4,76
L,300.6,311.9,1425,44.9,224
M,298.8,309.9,1495,35.2,60
L,300.3,309.2,1572,32.0,173
M,297.7,308.9,1531,48.3,84
H,300.4,311.2,1489,45.3,180
L,302.0,309.8,1456,58.1,145
H,299.0,310.1,2053,19.7,137
L,301.0,311.0,1399,58.0,190
M,296.9,307.9,1441,47.6,60
L,300.3,311.0,1613,34.7,142
L,300.8,311.3,1462,41.4,75
L,302.7,312.2,1336,46.8,179
L,303.0,311.2,1361,47.6,106
L,298.3,309.1,1417,60.5,143
L,299.4,309.1,1670,35.9,68
L,298.2,307.8,1355,59.4,115
L,297.6,308.6,1522,37.0,106
M,298.8,309.8,1288,61.9,79
L,301.1,311.0,1378,51.1,190
L,298.3,309.1,1616,31.1,195
L,301.5,310.7,1942,20.5,155
H,299.8,310.9,1427,47.2,168
L,297.2,308.0,1474,43.7,162
L,297.9,307.5,1561,37.7,16
L,297.9,308.8,1613,31.4,57
L,299.8,309.1,1612,35.4,205
L,301.6,310.0,1566,30.3,79
L,301.9,310.9,1379,54.8,99
L,300.3,311.1,1606,30.9,156
H,300.8,310.3,1777,30.1,38
M,300.2,311.6,1533,46.4,24
L,296.3,307.3,1398,52.7,31
M,298.6,309.3,1510,40.8,177
L,302.9,312.4,1561,34.8,150
L,301.6,310.7,1638,33.8,196
L,300.4,311.2,1351,62.0,18
M,303.7,312.9,1511,41.0,33
L,301.2,310.7,1951,21.3,44
M,300.2,309.5,1564,33.4,183
L,304.1,313.1,1327,54.1,57
M,298.9,308.2,1411,51.3,43
M,296.8,307.9,1683,31.8,76
M,301.3,310.7,1391,52.5,61
M,297.6,308.9,1433,43.2,206
L,300.3,311.8,1418,45.9,53
L,298.1,309.9,1629,32.5,45
L,299.3,308.5,1772,26.1,52
M,300.7,310.6,1439,41.7,184
L,300.8,312.0,1496,40.0,175
M,300.1,311.6,1433,51.4,76
L,296.9,307.9,1367,47.1,204
L,300.5,310.6,1368,49.6,10
M,300.9,310.5,1444,43.2,27
M,297.4,308.7,1582,31.9,161
L,300.7,310.2,1286,64.9,160
L,297.1,308.4,1583,31.9,2
L,298.7,308.5,1467,40.7,106
L,302.8,312.1,1487,36.6,84
L,300.6,310.0,1313,52.9,93
L,299.2,308.4,1877,23.9,4
L,299.7,309.6,1720,27.1,146
L,301.0,310.5,1429,39.4,98
H,297.7,307.6,1538,38.3,63
L,302.1,311.4,1889,22.7,194
M,299.4,308.6,1541,39.1,109
M,297.2,308.6,1513,39.0,78
L,300.1,311.3,1479,39.5,133
L,304.2,313.4,1434,42.5,175
L,301.9,310.4,1370,51.7,153
L,297.1,308.2,1402,51.2,186
L,301.5,311.1,1458,41.4,123
L,298.8,309.7,1424,49.6,129
L,302.6,312.3,1554,42.0,58
M,302.7,312.4,1422,44.5,49
L,300.3,309.6,1597,31.8,73
L,300.3,311.7,1821,26.3,202
L,300.4,311.7,1515,47.4,170
L,300.5,311.9,1511,41.8,205
L,301.1,310.0,1513,38.0,17
H,297.5,308.3,1674,30.0,54
L,303.8,313.2,1525,41.9,145
M,298.8,309.7,2098,19.0,133
L,302.4,310.2,2224,16.0,154
L,301.9,310.8,1735,31.5,66
L,303.8,312.8,1443,40.7,145
L,299.1,310.1,1894,20.1,106
L,299.4,309.1,1645,28.6,57
L,300.9,310.6,1598,35.4,186
M,303.5,311.6,1573,34.0,134
L,302.2,311.4,1477,41.7,15
M,301.0,311.2,1521,35.8,13
L,298.2,308.2,1667,30.6,59
H,300.9,310.4,1457,43.8,69
L,301.8,311.2,1417,55.9,156
H,299.7,310.3,1462,40.4,19
M,300.4,311.2,1831,23.4,133
L,298.8,310.6,1651,33.3,0
M,302.5,310.5,1507,40.2,201
L,302.6,311.8,1638,35.1,17
L,299.7,310.9,1491,40.1,195
L,302.7,311.2,1545,35.1,128
L,298.4,310.1,1926,23.7,83
L,298.0,308.3,1405,56.2,218
H,297.6,309.6,1669,32.1,155
L,299.9,311.3,1647,27.5,26
L,298.9,308.3,1432,48.9,38
M,299.0,308.6,1645,33.4,22
M,297.0,308.2,1702,30.7,124
L,299.8,309.4,1460,37.4,25
L,296.8,307.9,1611,35.4,72
L,300.3,309.6,1537,37.1,187
L,296.2,307.2,1356,43.6,22
H,298.6,309.4,1362,45.3,56
M,297.5,308.8,1471,52.3,152
L,297.9,307.6,1430,52.4,178
M,297.4,308.4,1620,35.8,215
M,297.6,308.6,1389,49.0,34
L,298.3,308.0,1242,62.0,98
M,297.8,309.0,1675,30.0,110
M,302.4,310.4,1463,42.2,139
L,302.6,312.1,1420,51.6,182
M,296.2,306.8,1526,42.3,129
L,300.1,309.6,1541,37.0,96
M,300.8,310.7,1483,40.8,28
H,300.8,312.1,1527,35.1,164
L,299.0,308.6,1653,31.7,100
L,300.0,309.5,1506,38.8,87
L,297.2,308.5,1574,35.8,95
L,301.8,310.6,1192,68.9,135
M,297.8,309.0,1434,43.3,96
H,300.6,310.4,1510,42.8,124
L,302.8,312.6,1462,39.4,22
L,297.2,308.6,1917,24.1,54
L,298.3,309.0,1657,32.2,179
L,299.0,310.4,1981,21.2,125
L,300.5,310.7,1606,33.5,121
M,297.7,309.5,2027,19.8,39
M,297.9,307.9,1336,54.4,82
L,297.3,308.7,1492,43.6,189
L,304.1,313.1,1969,20.8,59
L,302.0,309.8,1701,27.2,4
M,302.3,311.4,1484,39.5,22
L,298.7,308.5,1469,39.9,67
L,300.4,309.3,1525,39.6,202
L,300.7,309.8,1596,31.5,123
L,301.7,310.8,1493,47.6,145
L,301.0,312.1,1675,30.7,200
L,302.7,312.2,1572,34.4,228
L,299.2,310.3,1610,33.3,233
L,301.8,310.8,1505,41.2,33
L,303.4,312.2,1656,32.7,195
L,298.2,307.8,1530,35.9,68
L,295.8,306.3,1337,54.6,87
H,299.0,310.0,1387,45.2,110
L,299.5,309.3,1523,41.5,181
L,302.3,311.6,1488,41.8,75
M,297.6,308.5,1360,48.6,77
M,302.6,312.1,1445,42.0,181
L,299.1,310.4,1428,46.9,87
M,300.8,310.3,1458,43.4,0
L,297.8,307.8,1383,56.5,98
L,299.8,309.2,1439,36.1,203
H,296.9,307.9,1557,36.5,63
L,298.1,308.2,1390,47.5,33
L,301.3,310.9,1566,33.1,82
L,297.9,309.0,1450,46.8,118
M,297.5,309.4,1391,58.2,34
M,298.6,308.4,1391,42.4,169
M,300.7,310.3,1471,40.2,59
H,300.0,309.5,1735,28.9,82
H,297.9,307.9,1406,58.5,93
L,303.6,311.8,1614,33.2,155
H,298.3,309.4,1631,29.8,0
L,298.2,307.8,1476,36.8,134
M,300.8,310.4,1450,39.4,62
L,299.0,310.2,1575,37.8,42
L,300.3,310.4,1493,37.5,219
L,303.6,311.8,1736,32.9,99
M,298.8,309.1,1368,49.1,117
L,301.9,310.8,1567,39.3,9
H,299.3,308.7,1408,44.4,82
M,304.1,313.6,1441,43.7,131
L,300.2,310.2,1415,49.6,21
M,299.0,310.3,1558,35.4,223
L,303.0,312.7,1361,48.8,120
L,297.0,308.1,1355,43.7,217
M,298.3,308.9,1363,46.1,5
M,296.7,307.4,1540,38.7,45
M,297.4,308.6,1434,44.4,193
M,299.1,310.5,1428,43.0,53
L,300.2,311.6,1540,37.7,71
L,300.5,309.8,1379,54.2,207
M,302.3,310.9,1710,30.4,218
L,300.0,311.5,1749,28.3,83
M,300.2,310.3,1448,40.1,209
M,302.2,311.4,1398,47.2,202
L,299.6,309.0,1372,60.4,149
L,302.4,310.1,1645,31.6,93
M,299.1,308.7,2008,20.3,178
L,299.3,309.1,1388,45.5,123
L,301.3,311.0,1576,30.4,151
L,301.7,311.0,1585,35.9,185
L,299.6,310.9,1658,28.0,76
L,301.9,310.4,1884,23.4,163
M,300.1,310.4,1556,38.1,92
L,299.4,309.1,1304,50.5,153
L,300.9,310.9,1497,43.2,62
L,299.1,310.4,1452,39.7,151
L,299.4,308.9,1440,42.5,87
L,298.4,309.6,1479,37.8,144
L,301.0,311.4,1484,36.2,188
M,301.8,311.1,1413,42.2,9
L,296.7,307.8,1646,34.6,238
L,297.1,308.0,1467,42.8,169
L,296.5,307.4,1523,40.7,85
M,300.8,311.3,1465,43.2,113
M,302.2,311.4,1626,31.6,62
M,302.5,310.4,1605,36.0,69
L,296.2,306.9,1516,39.1,138
H,297.9,307.5,1880,23.3,146
M,297.2,307.9,1632,37.5,156
L,295.5,306.0,1456,39.2,167
M,303.6,312.1,1967,20.9,2
M,302.7,312.0,1944,21.4,71
M,298.9,309.6,1434,43.8,180
L,299.1,310.3,1449,40.7,40
M,298.1,308.9,1417,39.2,65
M,298.1,308.1,1452,40.8,56
L,297.8,308.4,1685,28.4,179
L,298.1,308.7,1568,32.9,10
M,302.3,310.9,1742,29.7,137
H,301.7,311.2,1639,30.0,161
L,302.1,310.8,1565,35.3,6
M,301.1,310.7,1621,31.0,108
M,298.3,309.3,1376,57.0,198
L,299.1,308.2,1493,34.9,119
M,302.3,311.4,1909,23.2,25
L,299.5,308.9,1520,38.3,122
H,299.0,308.2,1662,30.4,55
L,296.3,307.2,1291,58.6,29
M,300.8,312.4,1811,25.1,136
H,297.5,308.5,1393,46.6,56
L,297.3,308.4,1441,43.4,14
L,302.3,310.9,1459,35.0,32
L,303.4,311.9,1434,44.6,78
L,299.3,308.9,1376,60.3,163
H,298.7,308.4,1432,42.8,197
L,298.8,309.7,1740,28.5,152
M,298.3,307.8,1392,50.4,101
L,302.3,311.2,1386,53.5,59
L,298.1,308.9,1367,41.9,113
L,299.3,308.5,1485,44.7,78
L,300.7,312.1,1395,41.9,157
L,302.4,312.0,1305,49.1,16
L,302.2,311.2,1649,33.2,9
L,298.9,309.7,1407,41.9,207
H,298.3,308.6,1432,49.5,91
L,303.6,312.5,1710,31.4,180
L,298.0,307.5,1618,35.2,31
L,298.6,309.8,2271,16.2,218
L,299.1,310.1,1373,55.6,108
L,298.9,308.6,1413,46.5,122
L,298.3,308.9,1348,55.5,102
L,302.0,310.4,1448,43.4,167
L,301.7,310.6,1303,59.7,42
M,298.3,307.7,1717,27.1,7
L,300.1,311.7,1503,42.6,208
L,297.0,307.9,1595,31.7,170
L,297.2,308.6,1437,52.4,37
L,297.5,309.4,1503,40.6,144
M,300.4,310.1,1457,35.1,193
L,297.9,309.9,1472,45.0,183
M,301.7,310.5,1625,35.9,121
M,297.1,308.1,1506,37.7,210
L,298.4,308.9,1638,32.4,109
L,302.5,310.2,1563,34.8,150
M,303.9,313.1,1668,34.4,137
L,300.9,309.7,2355,14.4,201
L,300.6,310.3,1414,50.6,25
L,297.7,308.7,1688,27.2,125
L,296.3,307.3,1566,35.8,175
M,299.6,309.4,1283,62.1,83
L,297.6,308.6,1326,62.4,173
H,297.8,308.4,1512,35.1,138
L,299.6,310.2,1381,60.5,13
M,296.3,307.3,1368,49.5,10
M,303.0,311.1,1372,54.3,117
M,301.5,310.5,1612,29.8,148
L,301.0,311.3,1349,47.0,71
L,302.3,311.5,1543,33.1,39
M,300.7,310.7,1343,51.6,211
L,298.1,308.5,1498,49.4,5
L,303.7,313.1,1721,34.8,50
L,299.0,310.0,1582,31.9,51
M,298.8,308.4,1604,29.5,14
H,297.4,308.9,1645,30.8,196
M,303.0,311.3,1335,53.6,164
L,302.1,310.7,1491,42.8,98
L,298.2,308.0,1658,30.0,3
H,297.0,307.9,1846,27.3,179
L,300.1,309.6,1321,46.9,75
L,301.7,311.3,1421,45.9,85
L,299.1,308.4,1426,47.9,67
L,301.1,311.2,1774,29.6,186
L,297.9,307.7,1537,37.7,15
M,297.4,309.3,1564,36.0,126
L,297.5,309.3,1470,38.8,197
L,297.7,309.7,1591,37.7,196
L,302.2,310.7,1567,36.4,100
L,301.7,309.8,1491,39.3,114
L,301.1,310.5,1428,44.1,103
L,300.2,309.6,1430,52.7,47
L,300.4,311.3,1495,51.2,175
H,302.1,310.7,1294,62.4,101
L,297.8,307.9,1447,48.6,46
M,300.4,310.4,1544,36.3,21
L,301.7,310.6,1406,46.0,112
L,304.4,313.6,1569,38.4,11
L,299.5,309.3,1577,36.6,14
L,301.6,309.8,1588,33.9,89
L,301.9,310.4,1603,37.6,69
L,298.5,309.5,1738,25.2,49
L,301.2,311.0,1596,37.2,219
L,300.1,309.5,1353,50.9,34
M,300.9,312.0,1447,41.4,193
L,297.5,308.9,1427,44.7,135
M,298.2,309.0,1410,47.6,76
L,299.4,310.9,1751,27.8,10
L,302.5,310.3,1446,44.0,146
M,302.3,311.3,1625,33.1,137
H,300.5,310.8,1631,30.5,132
L,298.3,309.4,1570,35.6,138
H,298.1,307.6,1542,37.1,84
L,298.4,307.9,1981,23.2,16
L,300.5,311.4,1709,32.3,64
M,298.7,309.6,1254,57.1,124
L,297.0,308.2,1577,29.4,130
M,303.9,312.7,1485,43.3,174
L,299.1,308.2,1348,56.1,110
L,301.4,310.4,1543,40.9,190
L,300.8,309.8,1657,31.1,151
L,299.5,309.3,1477,40.4,138
H,297.9,309.1,1435,44.7,8
M,302.2,311.2,1360,52.8,176
L,299.7,309.6,1321,53.4,166
M,298.2,307.8,1411,53.4,110
M,304.1,313.2,1427,46.9,123
L,303.3,311.4,1510,37.3,36
L,301.1,310.6,1417,47.6,10
H,298.2,308.8,1470,43.3,61
L,300.8,310.2,1850,22.8,33
L,299.2,308.4,1475,38.7,22
L,299.6,309.0,1648,33.6,70
L,301.9,310.5,1340,55.7,204
H,295.6,306.2,1414,42.5,69
L,300.5,311.6,1385,54.8,173
L,298.8,310.0,1528,36.7,147
H,304.0,313.1,1408,39.8,132
L,297.7,307.4,1643,36.5,55
L,301.5,310.5,1644,34.9,186
H,300.7,310.5,1476,43.1,134
L,302.6,311.0,1660,38.0,99
M,297.4,308.9,1348,59.1,201
L,300.0,309.1,1431,45.4,90
H,299.0,310.1,1555,38.6,118
H,298.5,309.7,1561,35.3,208
M,302.3,311.2,1454,43.8,112
M,298.9,310.1,1484,40.4,61
H,297.0,308.4,1305,54.6,168
L,303.5,312.1,1522,36.4,107
M,300.4,309.3,1467,40.3,166
L,296.8,307.8,1565,39.5,124
M,302.2,310.5,1832,23.7,129
L,298.3,308.9,1708,28.0,42
L,299.5,309.1,1502,44.6,13
L,299.9,309.8,1716,28.2,117
L,295.6,306.0,1949,21.9,5
L,302.0,311.1,1402,47.8,182
H,299.7,309.2,1554,41.6,62
M,300.3,311.1,1477,44.2,166
L,298.2,308.9,1444,53.1,83
M,300.7,310.5,1863,22.2,111
M,298.8,308.6,1598,35.1,52
M,298.3,309.2,1783,28.3,130
L,299.0,310.3,1929,24.4,180
M,300.2,311.0,2370,14.7,144
L,303.0,311.2,1494,37.0,67
M,300.8,309.6,1404,38.7,44
L,303.4,312.3,1663,33.9,78
M,301.4,310.7,1368,63.7,92
M,298.2,309.4,1693,34.4,73
L,303.6,312.0,1827,23.3,103
L,298.3,309.9,1507,41.6,112
L,298.9,309.9,1373,52.1,108
M,300.2,311.4,1450,38.5,68
L,296.1,307.1,1898,22.7,20
L,299.1,310.5,1628,35.9,174
H,301.6,309.9,1423,53.6,95
M,304.1,313.3,1725,28.3,177
L,302.3,310.8,1465,43.8,7
L,301.5,310.9,1365,46.5,172
L,300.7,309.6,1541,34.6,131
L,299.4,310.7,1551,41.2,3
L,300.7,309.5,1467,44.3,55
L,299.0,310.1,1531,36.0,57
M,302.4,310.2,1485,45.9,50
L,298.1,307.9,1425,58.2,57
L,300.6,312.0,1430,42.7,130
H,298.7,309.3,1402,45.3,190
L,298.0,309.1,1473,44.3,124
H,300.3,309.9,1394,46.7,210
L,297.6,308.9,1449,47.7,209
L,299.0,308.8,1405,55.2,103
M,299.6,308.9,1685,27.8,161
L,300.6,310.4,1401,42.6,114
L,298.8,309.8,1437,42.8,23
L,303.0,312.6,1451,42.1,125
L,300.3,310.4,1336,54.4,52
M,302.2,311.6,1592,37.7,79
M,297.4,308.0,1601,34.6,181
L,299.5,309.2,1499,41.5,175
L,303.6,312.6,1502,39.5,103
M,298.3,307.7,1602,33.4,106
M,299.9,310.4,1820,26.6,175
L,301.3,310.0,1665,31.4,0
H,296.6,307.4,1406,41.5,189
M,300.6,309.5,1530,40.2,93
L,296.9,308.0,1332,53.9,7
L,297.0,307.8,1583,37.2,189
L,298.8,309.5,1368,44.7,147
L,301.2,309.9,1687,29.7,30
L,297.5,308.8,1603,36.7,184
L,300.9,310.3,1321,48.8,150
L,299.0,310.1,1362,59.5,46
L,302.9,312.2,1605,33.9,86
L,303.4,311.9,1531,37.9,203
L,303.3,311.3,1389,53.9,39
M,298.6,309.2,1742,30.0,37
L,300.2,311.4,1495,43.6,95
H,299.7,309.3,1494,37.8,214
M,299.2,308.4,1529,43.0,50
L,302.4,311.0,1610,33.1,161
L,297.3,308.5,1503,43.3,90
M,302.3,311.8,1355,50.1,104
L,302.4,311.9,1867,25.9,121
L,297.6,309.6,1501,49.8,222
L,302.6,311.6,1576,34.7,182
L,301.0,310.8,1549,41.4,121
L,301.5,311.1,2076,18.7,103
M,296.3,307.1,1534,33.8,151
L,297.9,309.8,1336,71.6,31
L,300.8,311.7,1426,45.5,16
M,302.0,310.6,1623,34.3,9
L,301.5,310.8,1593,34.5,162
L,299.0,308.7,1507,37.5,134
H,302.7,312.0,1484,41.5,65
L,300.2,311.5,1495,38.5,69
L,297.5,308.6,1208,62.3,28
M,298.6,309.5,1366,55.0,65
L,300.7,311.1,1688,30.7,161
L,300.3,311.3,1525,40.7,105
H,298.0,307.5,1683,27.8,26
L,301.5,310.9,2760,8.0,15
H,300.2,309.3,1342,48.7,68
M,299.8,309.3,1640,31.1,211
M,299.7,309.1,1508,41.2,152
L,302.4,310.2,1633,28.0,164
M,299.0,308.4,1535,47.5,163
L,302.0,310.8,1948,19.7,66
L,297.3,308.3,1471,38.2,37
L,301.4,310.8,1610,34.6,187
L,300.2,309.5,1495,32.6,49
M,304.2,313.4,1329,54.5,75
M,300.8,311.2,1365,51.7,111
L,303.8,312.6,1735,25.9,154
L,298.2,307.8,1585,34.6,78
H,298.1,307.6,1496,44.1,104
M,296.9,308.0,1430,55.9,71
L,298.3,308.0,1578,37.8,101
M,300.8,310.3,1868,24.5,95
L,301.1,310.1,1564,36.8,7
L,303.3,311.4,1511,43.4,65
M,300.1,311.4,1617,39.3,47
L,302.7,310.7,1977,20.0,21
L,301.6,311.1,1325,49.2,104
H,298.6,309.7,1463,39.1,66
M,298.8,308.6,1507,42.3,207
L,297.7,308.8,1616,34.2,114
L,298.2,307.9,1313,67.3,67
L,298.0,307.6,1509,41.6,33
L,297.3,308.3,1519,37.7,45
L,301.5,310.5,1466,48.1,189
L,299.7,311.1,1650,32.4,60
L,303.2,311.4,1238,54.6,226
L,300.2,311.8,1464,44.5,179
M,299.0,310.0,1337,57.4,146
L,300.2,311.0,1627,33.7,147
H,299.5,309.4,1386,44.4,154
L,300.7,311.2,1878,24.3,24
M,296.9,307.6,1685,32.0,10
L,298.0,309.2,1378,49.7,94
L,303.5,312.3,1584,35.2,74
L,301.8,311.2,1840,26.6,202
M,300.2,309.4,1459,43.9,39
L,297.1,308.2,1399,42.6,194
L,301.0,311.6,1470,43.4,133
L,298.1,309.0,1592,33.9,85
M,300.1,311.4,1342,48.5,203
L,300.8,309.7,1373,45.4,179
M,300.5,311.4,1390,51.9,68
L,299.1,308.6,1555,36.6,104
L,301.7,310.1,1487,48.0,36
L,300.3,311.5,1446,45.0,82
M,298.1,308.9,1459,50.3,115
M,303.4,311.9,1419,50.9,39
M,303.7,312.9,1566,32.6,9
L,298.6,309.5,1450,44.2,63
M,300.5,309.3,1578,30.5,34
H,300.4,309.4,1530,40.4,112
L,303.8,313.1,1523,39.8,150
L,300.8,311.7,1490,46.4,217
H,302.5,311.5,1655,32.3,142
M,302.2,310.9,1302,53.4,58
M,296.8,307.9,1409,44.3,145
L,297.6,308.6,1664,30.1,81
L,302.8,310.9,1636,35.0,38
M,298.5,307.9,1640,33.1,146
L,301.3,310.3,1460,41.5,197
M,302.3,311.8,1879,23.0,124
L,298.9,308.6,1771,24.1,213
H,300.9,310.7,1609,28.7,39
L,297.4,308.4,1426,50.4,70
L,302.0,310.9,1539,34.2,13
H,297.5,309.5,1668,27.9,240
L,300.2,309.7,1421,44.6,17
L,300.7,310.8,1486,37.1,186
L,301.0,310.9,1568,38.2,172
L,301.5,310.5,1453,44.2,129
L,300.0,310.1,1477,34.6,195
L,299.9,309.6,1294,49.7,126
L,298.2,308.6,1353,54.1,38
L,297.1,307.9,1492,39.4,171
L,301.7,309.9,1317,49.0,187
L,298.8,308.5,1736,29.0,31
L,300.5,310.7,1488,39.4,159
M,300.6,310.7,1457,36.7,193
L,299.7,309.4,1650,29.8,93
L,297.7,307.7,1581,34.9,31
L,303.4,311.8,1499,45.0,16
L,298.9,309.8,1396,49.0,13
L,297.1,307.8,1406,60.4,133
M,297.5,308.6,1347,57.0,132
M,300.7,309.7,1523,38.2,73
L,300.4,311.4,1424,44.6,127
M,297.5,308.2,1624,30.9,186
L,300.6,311.7,1528,43.9,185
M,300.7,310.6,1484,38.0,84
M,298.0,307.7,1621,34.9,194
M,302.6,311.7,1430,51.7,32
M,301.4,311.0,1427,43.2,13
H,297.9,308.0,1800,24.8,44
M,300.9,310.9,1636,35.3,153
L,297.3,308.5,1504,42.0,142
H,301.4,310.7,1536,44.4,96
M,296.9,308.0,1641,33.3,67
L,297.8,309.9,1351,49.0,181
L,300.6,310.3,1648,30.5,217
L,299.1,308.8,1413,42.1,86
M,298.6,310.1,1596,33.0,15
L,303.8,312.5,1523,47.0,152
L,298.4,308.0,1380,47.6,130
M,298.8,308.6,1486,41.1,13
M,298.8,309.7,1480,38.1,157
M,301.2,310.7,1615,34.9,95
H,297.6,308.6,1480,39.8,19
L,300.9,310.9,1755,27.9,148
L,300.4,309.8,1395,48.1,201
M,301.5,311.1,1507,38.6,149
L,296.7,307.6,1474,41.7,148
H,300.1,311.4,1485,40.4,75
H,301.2,310.6,1352,52.0,69
L,297.5,308.2,1489,40.7,141
M,302.0,310.6,1392,60.5,10
H,300.1,309.4,1563,40.8,28
M,300.1,311.4,1390,52.1,94
M,302.3,311.8,1559,34.4,191
L,295.3,305.7,1475,51.0,187
L,297.9,307.6,1298,52.7,132
L,301.5,311.1,1731,27.9,101
L,303.7,312.7,1426,45.5,192
L,300.8,312.1,1512,37.1,169
L,298.8,308.9,1852,25.0,57
L,301.2,310.7,1551,41.2,82
L,299.1,310.4,1450,40.9,85
L,297.9,307.8,1365,46.9,73
L,301.6,310.8,1961,21.8,148
M,300.4,310.2,1613,36.9,231
M,298.1,308.7,1527,43.0,56
L,297.5,308.6,1513,39.7,32
L,300.7,311.1,1440,43.0,148
M,299.7,309.6,1534,39.1,176
L,298.1,309.0,1557,36.0,56
M,297.6,308.6,1444,48.2,46
L,299.5,310.0,1412,48.9,56
L,300.8,310.7,1339,59.1,203
M,304.0,313.1,1466,39.5,83
L,300.7,311.0,1436,44.9,119
M,298.6,309.7,1280,64.1,71
M,301.0,312.0,1558,37.5,190
H,297.5,309.3,1459,49.7,201
L,302.1,310.9,1658,30.3,186
L,300.7,309.5,1479,34.5,197
L,299.0,310.3,1472,36.1,97
M,297.9,308.9,1547,44.0,72
M,297.6,308.5,1552,40.9,90
M,299.5,310.7,1364,49.5,0
L,303.5,312.4,1390,47.3,164
L,300.7,310.7,1314,42.4,198
L,298.2,308.6,1433,39.5,7
L,298.8,309.9,1482,39.1,45
L,297.5,308.8,1312,50.3,159
M,301.2,309.9,1456,50.8,15
L,301.3,311.1,1413,42.0,221
M,297.3,308.6,1456,42.9,122
L,298.2,307.8,1375,46.6,188
L,299.2,308.9,1588,41.5,150
L,298.8,308.7,1490,33.6,71
M,300.9,310.8,1452,43.6,185
H,300.3,309.9,1405,52.1,205
L,300.7,311.7,1635,32.4,213
L,299.8,309.2,1491,47.5,216
L,300.9,311.2,1789,25.5,114
M,302.4,311.4,1675,29.6,128
L,298.7,309.9,1753,26.8,40
L,295.6,306.2,1443,48.9,33
M,301.2,310.1,1479,45.5,44
L,301.5,310.4,1543,34.0,55
H,298.8,309.9,1526,42.1,30
M,297.3,308.4,1599,32.9,58
M,299.0,308.8,1418,45.7,204
M,300.7,309.5,1470,48.7,21
L,301.8,311.0,1606,33.3,4
L,298.8,310.0,1389,49.6,149
L,298.6,309.6,1715,28.4,90
H,298.4,308.9,1782,23.9,24
L,297.5,308.5,1536,36.9,108
M,298.7,309.0,1843,25.8,130
L,300.3,310.3,2158,16.8,32
M,300.5,311.1,1296,61.3,202
H,298.5,309.4,1417,41.2,155
L,298.8,309.3,1450,44.8,63
M,304.2,313.5,1557,37.3,164
M,297.3,308.3,1341,51.9,51
M,298.9,310.2,2099,20.0,98
H,303.6,312.5,1375,54.0,186
L,300.9,310.7,1523,35.8,205
L,302.5,312.0,2052,18.9,40
L,300.5,311.0,2074,18.9,9
L,297.6,309.5,1373,50.6,55
L,302.3,311.6,1398,49.1,119
L,297.3,308.7,1491,40.2,112
L,299.2,308.4,1393,48.4,35
L,295.8,306.5,1358,49.2,63
L,301.1,311.1,1570,41.6,202
L,301.7,311.3,1348,51.0,87
L,299.8,309.4,1436,51.6,158
H,300.7,312.3,1446,45.4,86
M,303.6,311.8,1432,42.5,150
L,299.0,310.4,1512,38.8,109
L,300.4,311.8,1367,57.2,10
H,298.8,310.5,1294,55.8,202
L,302.6,312.1,1782,26.8,198
H,302.3,310.2,1506,33.8,43
L,300.7,309.8,1330,54.4,171
L,301.5,310.5,1528,35.7,198
L,299.9,311.4,1596,28.9,160
L,297.6,309.2,1611,33.1,155
L,303.4,312.3,1502,36.0,69
L,297.9,307.6,1589,37.8,120
L,300.0,311.0,1637,33.6,181
M,300.0,311.4,1384,46.1,7
H,298.3,309.0,1470,38.4,10
M,301.6,310.9,1575,40.1,139
L,297.3,308.7,1549,36.1,218
L,301.2,311.0,1612,32.9,129
L,296.9,307.6,1514,35.7,100
L,297.3,308.7,1551,40.0,125
M,300.6,310.0,1478,36.3,95
L,301.7,310.5,1377,43.1,183
L,295.8,306.4,1356,48.0,99
M,298.9,310.7,1638,33.6,218
L,302.5,311.4,1674,27.0,223
L,301.7,311.2,1482,43.6,154
